title;Space Quiz
question;answerA;answerB;answerC;answerD;correctAnswer
What is the name of our galaxy?; Andromeda Galaxy; Milky Way; Triangulum Galaxy; Whirlpool Galaxy; B
What is the largest planet in our solar system?; Earth; Saturn; Jupiter; Neptune; C
What force keeps planets in orbit around the Sun?; Magnetism; Gravity; Nuclear force; Dark energy; B
What is the term for a star that suddenly increases greatly in brightness due to an explosion?; Pulsar; Nebula; Supernova; Quasar; C
What is the approximate age of the universe?; 4.5 billion years; 13.8 billion years; 1 billion years; 100 billion years; B
What is the closest star to Earth after the Sun?; Sirius; Proxima Centauri; Alpha Centauri A; Betelgeuse; B
What do we call a region in space where gravity is so strong that not even light can escape?; Neutron star; White dwarf; Black hole; Dark matter cloud; C
Which planet is known as the Red Planet?; Venus; Mars; Mercury; Uranus; B
What is the name of the first human-made object to reach space?; Apollo 11; Sputnik 1; Voyager 1; Hubble Telescope; B
What protects Earth from harmful solar radiation?; The Moon; The asteroid belt; The ozone layer and magnetic field; Jupiter; C
What is a light-year a measure of?; Time; Brightness; Distance; Speed; C
Which celestial objects are primarily composed of ice, dust, and rock and orbit the Sun?; Asteroids; Comets; Meteors; Pulsars; B
What is the cosmic microwave background?; Radiation from the Sun; Leftover radiation from the Big Bang; Light from black holes; Radiation from neutron stars; B
Which planet has the most extensive ring system?; Jupiter; Saturn; Uranus; Neptune; B
What is the name of the telescope launched in 1990 that orbits Earth?; James Webb Space Telescope; Kepler Telescope; Hubble Space Telescope; Chandra Observatory; C
